awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},1,2023-11-29 16:20:45,False,,,TrialSource,1,,antiphase_headphone_test,antiphase_headphone_test,True,False,True,,0,,,{},"{""label"": ""antiphase_HC_ISO"", ""correct_answer"": ""2""}",,default,default,False,13,Node,Node
False,{},2,2023-11-29 16:20:45,False,,,TrialSource,2,,antiphase_headphone_test,antiphase_headphone_test,True,False,True,,0,,,{},"{""label"": ""antiphase_HC_IOS"", ""correct_answer"": ""3""}",,default,default,False,13,Node,Node
False,{},3,2023-11-29 16:20:45,False,,,TrialSource,3,,antiphase_headphone_test,antiphase_headphone_test,True,False,True,,0,,,{},"{""label"": ""antiphase_HC_SOI"", ""correct_answer"": ""1""}",,default,default,False,13,Node,Node
False,{},4,2023-11-29 16:20:45,False,,,TrialSource,4,,antiphase_headphone_test,antiphase_headphone_test,True,False,True,,0,,,{},"{""label"": ""antiphase_HC_SIO"", ""correct_answer"": ""1""}",,default,default,False,13,Node,Node
False,{},5,2023-11-29 16:20:45,False,,,TrialSource,5,,antiphase_headphone_test,antiphase_headphone_test,True,False,True,,0,,,{},"{""label"": ""antiphase_HC_OSI"", ""correct_answer"": ""2""}",,default,default,False,13,Node,Node
False,{},6,2023-11-29 16:20:45,False,,,TrialSource,6,,antiphase_headphone_test,antiphase_headphone_test,True,False,True,,0,,,{},"{""label"": ""antiphase_HC_OIS"", ""correct_answer"": ""3""}",,default,default,False,13,Node,Node
