awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},37,2023-11-29 16:20:45,False,,,TrialSource,37,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_051.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_051.wav""}",,default,default,False,11,StaticNode,Node
False,{},38,2023-11-29 16:20:45,False,,,TrialSource,38,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_086.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_086.wav""}",,default,default,False,10,StaticNode,Node
False,{},39,2023-11-29 16:20:45,False,,,TrialSource,39,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_087.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_087.wav""}",,default,default,False,10,StaticNode,Node
False,{},40,2023-11-29 16:20:45,False,,,TrialSource,40,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_078.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_078.wav""}",,default,default,False,11,StaticNode,Node
False,{},41,2023-11-29 16:20:45,False,,,TrialSource,41,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_023.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_023.wav""}",,default,default,False,10,StaticNode,Node
False,{},42,2023-11-29 16:20:45,False,,,TrialSource,42,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_034.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_034.wav""}",,default,default,False,10,StaticNode,Node
False,{},43,2023-11-29 16:20:45,False,,,TrialSource,43,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_021.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_021.wav""}",,default,default,False,11,StaticNode,Node
False,{},44,2023-11-29 16:20:45,False,,,TrialSource,44,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_009.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_009.wav""}",,default,default,False,11,StaticNode,Node
False,{},45,2023-11-29 16:20:45,False,,,TrialSource,45,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_030.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_030.wav""}",,default,default,False,11,StaticNode,Node
False,{},46,2023-11-29 16:20:45,False,,,TrialSource,46,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_026.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_026.wav""}",,default,default,False,11,StaticNode,Node
